beta,Ns,Nt,xi_in,nape,alpha,cores,cpu,limit,betaone,Ntone,fraction,skip,meas,nsave,offset,every,bootl,steps_therm,n_gauge_eff,L=3_available,nconf/l,
1.46,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,800000,50,0,1,6,50000,15000,1,2500,
1.47,16,48,0.333333,0,1,1,1,0,1.7,48,0.5,250,500000,100,0,1,8,25000,4750,0,593,
1.48,16,48,0.333333,0,1,1,1,0,1.7,48,0.5,250,299900,100,1,1,4,25000,2749,1,687,
1.4814,16,48,0.333333333333333,0,1,8,1,0,1.7,16,0.5,500,200000,50,0,1,8,25000,3500,1,437,
1.5,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,200000,50,0,1,21,50000,3000,1,142,
1.51,16,48,0.333333,0,1,1,1,0,1.7,48,0.5,250,499900,100,1,1,8,25000,4749,0,593,
1.515,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,800000,50,0,1,20,50000,3000,0,272,
1.55,16,48,0.333333,0,1,1,1,0,1.7,48,0.5,250,499900,100,1,1,26,25000,4749,0,182,
1.7,16,48,0.333333,0,1,1,1,0,1.7,48,0.5,500,100000,50,0,1,231,25000,1500,1,6,
1.4,16,64,0.25,0,1,16,1,0,1.7,64,0.5,2000,900000,50,0,1,160,100000,16000,0,100,
1.415,16,64,0.25,0,1,16,1,0,1.7,64,0.5,1000,1000000,100,0,1,69,100000,9000,1,130,
1.42,16,64,0.25,0,1,16,1,0,1.7,64,0.5,1000,1000000,100,0,1,69,100000,9000,1,130,
1.43,16,64,0.25,0,1,16,1,0,1.7,64,0.5,2000,1200000,50,0,1,195,100000,22000,1,112,
1.4378,16,64,0.25,0,1,16,1,0,1.7,16,0.5,1000,900000,50,0,1,212,50000,17000,1,80,
1.45,16,64,0.25,0,1,16,1,0,1.7,64,0.5,2000,300000,50,0,1,439,100000,4000,0,9,
1.46,16,64,0.25,0,1,1,1,0,1.7,64,0.5,500,299900,100,1,1,100,50000,2499,0,24,
1.47,16,64,0.25,0,1,1,1,0,1.7,64,0.5,500,299900,100,1,1,55,50000,2499,1,45,
1.49,16,64,0.25,0,1,16,1,0,1.7,64,0.5,1000,1000000,100,0,1,240,100000,9000,1,37,
1.5,16,64,0.25,0,1,16,1,0,1.7,64,0.5,1000,1000000,100,0,1,128,100000,9000,1,70,
1.53,16,64,0.25,0,1,1,1,0,1.7,64,0.5,1000,1000000,100,0,1,1800,100000,9000,0,5,
1.7,16,64,0.25,0,1,1,1,0,1.7,64,0.5,1000,100000,50,0,1,11,50000,1000,0,90,probably_not_thermalized
